question,answer
What is AI?,Artificial Intelligence enables machines to simulate human intelligence.
What is Machine Learning?,Machine Learning allows systems to learn from data.
What is Deep Learning?,Deep Learning uses neural networks for complex tasks.
What is Python?,Python is a popular programming language.
What is Streamlit?,Streamlit helps build data and AI web apps.
What is NLP?,Natural Language Processing helps computers understand language.
What is Data Science?,Data Science extracts insights from data.
How to contact support?,Contact support through email.
Who developed Python?,Python was developed by Guido van Rossum.
What is ChatGPT?,ChatGPT is an AI conversational model.
What services do you provide?,We provide software and AI solutions.
What is computer vision?,Computer vision allows machines to interpret images.
What is coding?,Coding means writing instructions for computers.
What is an API?,API allows applications to communicate.
What is GitHub?,GitHub is a platform for code hosting.